session_id,user_id,session_date,screen_name,funnel_stage,time_spent_seconds,action_taken,month,month_name,session_period
1,2185,2024-02-01,Plan Selection,3,185,clicked,2,Feb,Pre-Update
2,472,2024-05-08,Home,1,56,viewed,5,May,Post-Update
3,79,2024-02-23,Pricing Page,2,34,clicked,2,Feb,Pre-Update
4,1162,2024-02-08,Confirmation,5,187,converted,2,Feb,Pre-Update
5,2148,2024-06-15,Pricing Page,2,52,dropped,6,Jun,Post-Update
6,287,2024-01-24,Pricing Page,2,44,dropped,1,Jan,Pre-Update
7,2576,2024-04-04,Home,1,123,viewed,4,Apr,Post-Update
8,439,2024-03-16,Plan Selection,3,206,viewed,3,Mar,Post-Update
9,2876,2024-06-01,Pricing Page,2,44,viewed,6,Jun,Post-Update
10,689,2024-02-14,Plan Selection,3,10,clicked,2,Feb,Pre-Update
11,2374,2024-06-08,Home,1,104,clicked,6,Jun,Post-Update
12,142,2024-03-05,Plan Selection,3,48,viewed,3,Mar,Pre-Update
13,1252,2024-01-17,Home,1,152,viewed,1,Jan,Pre-Update
14,2149,2024-05-01,Pricing Page,2,38,dropped,5,May,Post-Update
15,495,2024-04-01,Home,1,144,dropped,4,Apr,Post-Update
16,535,2024-02-02,Pricing Page,2,36,dropped,2,Feb,Pre-Update
17,2407,2024-05-09,Home,1,141,viewed,5,May,Post-Update
18,99,2024-05-18,Payment,4,78,clicked,5,May,Post-Update
19,1923,2024-04-18,Home,1,131,viewed,4,Apr,Post-Update
20,345,2024-02-08,Payment,4,207,viewed,2,Feb,Pre-Update
21,2428,2024-05-22,Pricing Page,2,41,dropped,5,May,Post-Update
22,1163,2024-03-26,Home,1,125,clicked,3,Mar,Post-Update
23,2267,2024-06-08,Home,1,21,viewed,6,Jun,Post-Update
24,470,2024-02-03,Pricing Page,2,52,dropped,2,Feb,Pre-Update
25,1499,2024-03-23,Payment,4,110,dropped,3,Mar,Post-Update
26,1421,2024-05-20,Pricing Page,2,38,clicked,5,May,Post-Update
27,154,2024-03-17,Confirmation,5,108,converted,3,Mar,Post-Update
28,1833,2024-04-14,Home,1,109,clicked,4,Apr,Post-Update
29,815,2024-02-24,Plan Selection,3,114,clicked,2,Feb,Pre-Update
30,640,2024-03-13,Pricing Page,2,47,viewed,3,Mar,Pre-Update
31,1311,2024-05-02,Home,1,82,clicked,5,May,Post-Update
32,2262,2024-01-13,Home,1,45,viewed,1,Jan,Pre-Update
33,2185,2024-05-04,Pricing Page,2,44,dropped,5,May,Post-Update
34,2747,2024-04-25,Pricing Page,2,47,dropped,4,Apr,Post-Update
35,1107,2024-01-08,Home,1,95,viewed,1,Jan,Pre-Update
36,2269,2024-03-05,Plan Selection,3,103,viewed,3,Mar,Pre-Update
37,2150,2024-01-20,Pricing Page,2,48,viewed,1,Jan,Pre-Update
38,2719,2024-04-29,Plan Selection,3,203,dropped,4,Apr,Post-Update
39,1348,2024-01-07,Payment,4,208,clicked,1,Jan,Pre-Update
40,1563,2024-01-20,Confirmation,5,128,converted,1,Jan,Pre-Update
41,31,2024-02-19,Pricing Page,2,56,dropped,2,Feb,Pre-Update
42,108,2024-02-05,Payment,4,159,dropped,2,Feb,Pre-Update
43,1366,2024-06-04,Confirmation,5,13,converted,6,Jun,Post-Update
44,981,2024-04-16,Confirmation,5,16,converted,4,Apr,Post-Update
45,884,2024-03-07,Confirmation,5,146,converted,3,Mar,Pre-Update
46,1646,2024-05-04,Payment,4,198,clicked,5,May,Post-Update
47,2224,2024-05-17,Plan Selection,3,134,clicked,5,May,Post-Update
48,2994,2024-06-06,Pricing Page,2,42,clicked,6,Jun,Post-Update
49,2771,2024-04-19,Pricing Page,2,51,dropped,4,Apr,Post-Update
50,2502,2024-06-09,Confirmation,5,204,converted,6,Jun,Post-Update
51,258,2024-04-02,Pricing Page,2,66,viewed,4,Apr,Post-Update
52,1971,2024-04-11,Payment,4,106,viewed,4,Apr,Post-Update
53,348,2024-06-01,Payment,4,164,clicked,6,Jun,Post-Update
54,355,2024-05-11,Pricing Page,2,45,dropped,5,May,Post-Update
55,790,2024-01-19,Plan Selection,3,67,clicked,1,Jan,Pre-Update
56,1533,2024-05-12,Home,1,104,viewed,5,May,Post-Update
57,1055,2024-06-11,Pricing Page,2,52,dropped,6,Jun,Post-Update
58,432,2024-03-05,Pricing Page,2,51,clicked,3,Mar,Pre-Update
59,1682,2024-01-30,Home,1,34,clicked,1,Jan,Pre-Update
60,2726,2024-05-20,Home,1,94,viewed,5,May,Post-Update
61,41,2024-01-19,Pricing Page,2,31,viewed,1,Jan,Pre-Update
62,897,2024-05-24,Home,1,27,dropped,5,May,Post-Update
63,1365,2024-06-02,Payment,4,165,clicked,6,Jun,Post-Update
64,407,2024-05-24,Plan Selection,3,121,dropped,5,May,Post-Update
65,1167,2024-06-13,Pricing Page,2,42,dropped,6,Jun,Post-Update
66,1383,2024-04-14,Plan Selection,3,174,clicked,4,Apr,Post-Update
67,1345,2024-03-29,Home,1,17,viewed,3,Mar,Post-Update
68,825,2024-05-14,Confirmation,5,65,converted,5,May,Post-Update
69,2056,2024-04-16,Confirmation,5,144,converted,4,Apr,Post-Update
70,2068,2024-03-19,Home,1,59,viewed,3,Mar,Post-Update
71,2245,2024-01-10,Home,1,185,clicked,1,Jan,Pre-Update
72,801,2024-02-04,Home,1,46,clicked,2,Feb,Pre-Update
73,2246,2024-03-07,Plan Selection,3,173,clicked,3,Mar,Pre-Update
74,746,2024-02-10,Pricing Page,2,34,clicked,2,Feb,Pre-Update
75,1758,2024-01-25,Confirmation,5,38,converted,1,Jan,Pre-Update
76,2953,2024-03-30,Plan Selection,3,39,dropped,3,Mar,Post-Update
77,940,2024-01-21,Plan Selection,3,175,dropped,1,Jan,Pre-Update
78,2024,2024-05-03,Pricing Page,2,63,dropped,5,May,Post-Update
79,2557,2024-01-07,Plan Selection,3,11,dropped,1,Jan,Pre-Update
80,2445,2024-04-13,Pricing Page,2,48,dropped,4,Apr,Post-Update
81,2392,2024-02-15,Payment,4,115,dropped,2,Feb,Pre-Update
82,2260,2024-04-12,Plan Selection,3,45,dropped,4,Apr,Post-Update
83,819,2024-06-08,Plan Selection,3,66,viewed,6,Jun,Post-Update
84,1355,2024-02-20,Home,1,76,clicked,2,Feb,Pre-Update
85,2421,2024-03-04,Pricing Page,2,49,dropped,3,Mar,Pre-Update
