subscription_id,user_id,plan_type,start_date,end_date,cancellation_reason,churn_flag,subscription_month,active_days,subscription_period
1,769,Monthly_499,2024-03-12,,,0,3,,Pre-Update
2,2003,Quarterly_1299,2024-05-17,,,0,5,,Post-Update
3,579,Monthly_499,2024-05-26,,,0,5,,Post-Update
4,253,Monthly_499,2024-05-12,,,0,5,,Post-Update
5,726,Quarterly_1299,2024-04-01,2024-04-17,Found Better App,1,4,16.0,Post-Update
6,790,Monthly_499,2024-04-21,,,0,4,,Post-Update
7,777,Monthly_499,2024-03-14,2024-04-28,Hard to Cancel,1,3,45.0,Pre-Update
8,348,Monthly_499,2024-02-27,2024-04-06,Too Expensive,1,2,39.0,Pre-Update
9,2823,Monthly_499,2024-01-14,,,0,1,,Pre-Update
10,2662,Annual_3999,2024-06-16,2024-07-07,Too Expensive,1,6,21.0,Post-Update
11,192,Annual_3999,2024-02-11,2024-04-13,Found Better App,1,2,62.0,Pre-Update
12,2337,Annual_3999,2024-01-10,,,0,1,,Pre-Update
13,1182,Monthly_499,2024-05-03,2024-05-13,Too Expensive,1,5,10.0,Post-Update
14,2983,Quarterly_1299,2024-01-30,,,0,1,,Pre-Update
15,1863,Monthly_499,2024-02-16,2024-03-30,Hard to Cancel,1,2,43.0,Pre-Update
16,331,Monthly_499,2024-03-01,,,0,3,,Pre-Update
17,2145,Monthly_499,2024-02-26,2024-03-26,Found Better App,1,2,29.0,Pre-Update
18,249,Monthly_499,2024-04-03,2024-06-06,Found Better App,1,4,64.0,Post-Update
19,2429,Monthly_499,2024-01-27,2024-02-27,Too Expensive,1,1,31.0,Pre-Update
20,1358,Monthly_499,2024-04-02,2024-05-25,Hard to Cancel,1,4,53.0,Post-Update
21,1963,Monthly_499,2024-06-11,,,0,6,,Post-Update
22,2853,Monthly_499,2024-01-10,,,0,1,,Pre-Update
23,498,Monthly_499,2024-02-05,,,0,2,,Pre-Update
24,2599,Monthly_499,2024-05-11,,,0,5,,Post-Update
25,1876,Quarterly_1299,2024-02-26,2024-03-25,Found Better App,1,2,28.0,Pre-Update
26,1151,Monthly_499,2024-03-24,,,0,3,,Post-Update
27,2188,Monthly_499,2024-02-25,,,0,2,,Pre-Update
28,182,Monthly_499,2024-05-31,,,0,5,,Post-Update
29,2043,Quarterly_1299,2024-05-20,,,0,5,,Post-Update
30,1965,Annual_3999,2024-05-22,2024-07-08,Found Better App,1,5,47.0,Post-Update
31,342,Annual_3999,2024-06-05,,,0,6,,Post-Update
32,2445,Monthly_499,2024-06-29,,,0,6,,Post-Update
33,668,Monthly_499,2024-05-21,,,0,5,,Post-Update
34,1085,Quarterly_1299,2024-03-09,,,0,3,,Pre-Update
35,2942,Monthly_499,2024-02-19,,,0,2,,Pre-Update
36,227,Quarterly_1299,2024-04-15,,,0,4,,Post-Update
37,1488,Monthly_499,2024-03-01,,,0,3,,Pre-Update
38,8,Monthly_499,2024-02-21,2024-04-22,Not Using App,1,2,61.0,Pre-Update
39,1795,Monthly_499,2024-06-06,2024-07-21,Too Expensive,1,6,45.0,Post-Update
40,1112,Monthly_499,2024-02-10,,,0,2,,Pre-Update
41,2664,Quarterly_1299,2024-02-21,,,0,2,,Pre-Update
42,1709,Annual_3999,2024-06-16,,,0,6,,Post-Update
43,1136,Annual_3999,2024-03-14,2024-05-20,Not Using App,1,3,67.0,Pre-Update
44,1359,Monthly_499,2024-01-20,,,0,1,,Pre-Update
45,1068,Monthly_499,2024-01-08,,,0,1,,Pre-Update
46,962,Annual_3999,2024-06-24,,,0,6,,Post-Update
47,415,Monthly_499,2024-06-29,,,0,6,,Post-Update
48,1221,Quarterly_1299,2024-04-15,,,0,4,,Post-Update
49,1142,Monthly_499,2024-05-31,,,0,5,,Post-Update
50,1663,Monthly_499,2024-04-08,,,0,4,,Post-Update
51,721,Annual_3999,2024-01-26,,,0,1,,Pre-Update
52,1469,Monthly_499,2024-06-27,2024-08-11,Hard to Cancel,1,6,45.0,Post-Update
53,740,Quarterly_1299,2024-06-09,,,0,6,,Post-Update
54,2363,Quarterly_1299,2024-04-24,2024-05-20,Too Expensive,1,4,26.0,Post-Update
55,1734,Monthly_499,2024-06-26,,,0,6,,Post-Update
56,14,Monthly_499,2024-02-27,,,0,2,,Pre-Update
57,2369,Annual_3999,2024-02-14,,,0,2,,Pre-Update
58,1283,Monthly_499,2024-02-27,2024-05-03,Found Better App,1,2,66.0,Pre-Update
59,2256,Annual_3999,2024-06-01,2024-06-28,Hard to Cancel,1,6,27.0,Post-Update
60,2012,Quarterly_1299,2024-06-21,,,0,6,,Post-Update
61,980,Monthly_499,2024-06-07,,,0,6,,Post-Update
62,1973,Annual_3999,2024-02-01,,,0,2,,Pre-Update
63,373,Monthly_499,2024-05-12,2024-06-19,Hard to Cancel,1,5,38.0,Post-Update
64,524,Monthly_499,2024-05-11,,,0,5,,Post-Update
65,1644,Monthly_499,2024-04-20,2024-06-29,Hard to Cancel,1,4,70.0,Post-Update
66,2104,Monthly_499,2024-06-16,,,0,6,,Post-Update
67,2268,Monthly_499,2024-02-01,,,0,2,,Pre-Update
68,1304,Annual_3999,2024-06-02,2024-08-15,Too Expensive,1,6,74.0,Post-Update
69,2995,Quarterly_1299,2024-06-17,,,0,6,,Post-Update
70,2399,Monthly_499,2024-02-25,,,0,2,,Pre-Update
71,1231,Monthly_499,2024-05-17,2024-08-09,Hard to Cancel,1,5,84.0,Post-Update
72,2174,Monthly_499,2024-02-25,,,0,2,,Pre-Update
73,469,Quarterly_1299,2024-02-15,2024-05-02,Too Expensive,1,2,77.0,Pre-Update
74,2147,Monthly_499,2024-02-13,,,0,2,,Pre-Update
75,1148,Annual_3999,2024-03-14,2024-04-10,Not Using App,1,3,27.0,Pre-Update
76,876,Monthly_499,2024-05-04,,,0,5,,Post-Update
77,89,Monthly_499,2024-06-15,,,0,6,,Post-Update
78,1409,Monthly_499,2024-06-19,,,0,6,,Post-Update
79,2012,Annual_3999,2024-02-04,2024-04-26,Hard to Cancel,1,2,82.0,Pre-Update
80,2345,Quarterly_1299,2024-04-18,,,0,4,,Post-Update
81,1606,Monthly_499,2024-01-30,2024-03-05,Found Better App,1,1,35.0,Pre-Update
82,298,Monthly_499,2024-01-12,,,0,1,,Pre-Update
83,1153,Monthly_499,2024-02-17,2024-04-29,Not Using App,1,2,72.0,Pre-Update
84,851,Monthly_499,2024-02-14,2024-03-30,Found Better App,1,2,45.0,Pre-Update
85,249,Monthly_499,2024-05-19,,,0,5,,Post-Update
86,1956,Annual_3999,2024-02-03,,,0,2,,Pre-Update
87,2483,Annual_3999,2024-01-13,2024-01-27,Found Better App,1,1,14.0,Pre-Update
88,684,Quarterly_1299,2024-04-01,,,0,4,,Post-Update
89,2280,Annual_3999,2024-06-02,2024-06-27,Hard to Cancel,1,6,25.0,Post-Update
90,93,Annual_3999,2024-02-05,,,0,2,,Pre-Update
91,2279,Monthly_499,2024-01-24,,,0,1,,Pre-Update
92,2955,Monthly_499,2024-05-04,2024-06-03,Hard to Cancel,1,5,30.0,Post-Update
93,1663,Monthly_499,2024-06-25,2024-07-20,Hard to Cancel,1,6,25.0,Post-Update
94,2187,Monthly_499,2024-02-16,,,0,2,,Pre-Update
95,602,Annual_3999,2024-06-14,2024-08-21,Hard to Cancel,1,6,68.0,Post-Update
96,532,Quarterly_1299,2024-01-11,,,0,1,,Pre-Update
97,2167,Annual_3999,2024-05-28,2024-07-01,Found Better App,1,5,34.0,Post-Update
98,1293,Monthly_499,2024-04-07,2024-06-25,Hard to Cancel,1,4,79.0,Post-Update
99,2437,Quarterly_1299,2024-05-27,,,0,5,,Post-Update
100,1695,Monthly_499,2024-05-17,2024-08-10,Found Better App,1,5,85.0,Post-Update
101,23,Quarterly_1299,2024-01-24,,,0,1,,Pre-Update
102,2813,Monthly_499,2024-03-11,2024-06-03,Too Expensive,1,3,84.0,Pre-Update
103,1743,Quarterly_1299,2024-01-15,2024-02-04,Not Using App,1,1,20.0,Pre-Update
104,2140,Monthly_499,2024-05-05,2024-07-24,Not Using App,1,5,80.0,Post-Update
105,2545,Monthly_499,2024-01-25,2024-02-10,Too Expensive,1,1,16.0,Pre-Update
