user_id,signup_date,device_type,acquisition_channel,city_tier,age_group,signup_month,signup_period
1,2024-04-14,Android,Organic,Tier-3,45+,4,Post-Update
2,2024-03-01,Web,Organic,Tier-2,35-44,3,Pre-Update
3,2024-02-07,iOS,YouTube,Tier-1,45+,2,Pre-Update
4,2024-04-03,Android,YouTube,Tier-1,18-24,4,Post-Update
5,2024-05-05,Android,Instagram,Tier-1,35-44,5,Post-Update
6,2024-01-27,Android,Google Ads,Tier-1,25-34,1,Pre-Update
7,2024-02-07,iOS,Google Ads,Tier-2,35-44,2,Pre-Update
8,2024-04-09,Android,YouTube,Tier-3,25-34,4,Post-Update
9,2024-01-09,Android,Google Ads,Tier-2,45+,1,Pre-Update
10,2024-06-17,iOS,Google Ads,Tier-1,18-24,6,Post-Update
11,2024-06-16,Android,YouTube,Tier-2,25-34,6,Post-Update
12,2024-04-04,iOS,Organic,Tier-3,18-24,4,Post-Update
13,2024-06-18,iOS,Organic,Tier-1,25-34,6,Post-Update
14,2024-05-01,iOS,Instagram,Tier-2,25-34,5,Post-Update
15,2024-03-21,Android,Organic,Tier-1,35-44,3,Post-Update
16,2024-02-02,Android,YouTube,Tier-3,25-34,2,Pre-Update
17,2024-05-31,iOS,Instagram,Tier-1,25-34,5,Post-Update
18,2024-01-13,Android,Instagram,Tier-2,35-44,1,Pre-Update
19,2024-03-16,iOS,YouTube,Tier-1,25-34,3,Post-Update
20,2024-05-27,Android,YouTube,Tier-3,25-34,5,Post-Update
21,2024-04-30,Android,Organic,Tier-1,18-24,4,Post-Update
22,2024-03-22,iOS,Google Ads,Tier-2,45+,3,Post-Update
23,2024-06-01,iOS,Organic,Tier-1,25-34,6,Post-Update
24,2024-05-26,Web,Google Ads,Tier-1,18-24,5,Post-Update
25,2024-05-02,Web,Instagram,Tier-3,35-44,5,Post-Update
26,2024-05-24,Android,Google Ads,Tier-2,18-24,5,Post-Update
27,2024-03-13,iOS,Organic,Tier-2,35-44,3,Pre-Update
28,2024-03-06,iOS,Google Ads,Tier-3,18-24,3,Pre-Update
29,2024-03-01,Android,Google Ads,Tier-2,18-24,3,Pre-Update
30,2024-04-25,Android,Instagram,Tier-1,18-24,4,Post-Update
31,2024-05-08,Web,Instagram,Tier-3,18-24,5,Post-Update
32,2024-06-11,iOS,YouTube,Tier-3,25-34,6,Post-Update
33,2024-05-18,Android,Organic,Tier-2,18-24,5,Post-Update
34,2024-06-08,Android,YouTube,Tier-1,18-24,6,Post-Update
35,2024-04-18,Web,Organic,Tier-3,18-24,4,Post-Update
36,2024-03-13,iOS,YouTube,Tier-2,18-24,3,Pre-Update
37,2024-03-20,Web,Instagram,Tier-2,25-34,3,Post-Update
38,2024-03-09,iOS,Google Ads,Tier-1,18-24,3,Pre-Update
39,2024-01-15,Android,YouTube,Tier-3,45+,1,Pre-Update
40,2024-01-14,Web,Instagram,Tier-1,18-24,1,Pre-Update
41,2024-04-03,Web,Instagram,Tier-3,45+,4,Post-Update
42,2024-02-23,Android,Instagram,Tier-2,35-44,2,Pre-Update
43,2024-02-07,iOS,YouTube,Tier-1,18-24,2,Pre-Update
44,2024-05-25,Android,YouTube,Tier-1,35-44,5,Post-Update
45,2024-02-12,Web,YouTube,Tier-1,18-24,2,Pre-Update
46,2024-03-31,Web,Google Ads,Tier-2,18-24,3,Post-Update
47,2024-05-23,Web,Google Ads,Tier-1,25-34,5,Post-Update
48,2024-03-28,iOS,Google Ads,Tier-3,25-34,3,Post-Update
49,2024-06-07,Android,Instagram,Tier-2,18-24,6,Post-Update
50,2024-05-06,Android,Instagram,Tier-1,18-24,5,Post-Update
51,2024-03-10,Web,Google Ads,Tier-1,45+,3,Pre-Update
52,2024-06-18,iOS,Organic,Tier-1,18-24,6,Post-Update
53,2024-04-13,iOS,Instagram,Tier-2,18-24,4,Post-Update
54,2024-02-19,Web,Google Ads,Tier-1,25-34,2,Pre-Update
55,2024-01-01,Android,Google Ads,Tier-2,45+,1,Pre-Update
56,2024-06-18,Android,YouTube,Tier-3,35-44,6,Post-Update
57,2024-04-09,Android,Google Ads,Tier-1,35-44,4,Post-Update
58,2024-04-08,Web,Google Ads,Tier-2,45+,4,Post-Update
59,2024-05-10,Web,YouTube,Tier-1,18-24,5,Post-Update
60,2024-05-12,iOS,Instagram,Tier-2,45+,5,Post-Update
61,2024-02-13,Web,Instagram,Tier-3,35-44,2,Pre-Update
62,2024-02-25,Android,YouTube,Tier-3,25-34,2,Pre-Update
