"session_id","user_id","session_date","screen_name","funnel_stage","time_spent_seconds","action_taken"
1,2185,"2024-02-01","Plan Selection",3,185,"clicked"
2,472,"2024-05-08","Home",1,56,"viewed"
3,79,"2024-02-23","Pricing Page",2,34,"clicked"
4,1162,"2024-02-08","Confirmation",5,187,"converted"
5,2148,"2024-06-15","Pricing Page",2,52,"dropped"
6,287,"2024-01-24","Pricing Page",2,44,"dropped"
7,2576,"2024-04-04","Home",1,123,"viewed"
8,439,"2024-03-16","Plan Selection",3,206,"viewed"
9,2876,"2024-06-01","Pricing Page",2,44,"viewed"
10,689,"2024-02-14","Plan Selection",3,10,"clicked"
11,2374,"2024-06-08","Home",1,104,"clicked"
12,142,"2024-03-05","Plan Selection",3,48,"viewed"
13,1252,"2024-01-17","Home",1,152,"viewed"
14,2149,"2024-05-01","Pricing Page",2,38,"dropped"
15,495,"2024-04-01","Home",1,144,"dropped"
16,535,"2024-02-02","Pricing Page",2,36,"dropped"
17,2407,"2024-05-09","Home",1,141,"viewed"
18,99,"2024-05-18","Payment",4,78,"clicked"
19,1923,"2024-04-18","Home",1,131,"viewed"
20,345,"2024-02-08","Payment",4,207,"viewed"
21,2428,"2024-05-22","Pricing Page",2,41,"dropped"
22,1163,"2024-03-26","Home",1,125,"clicked"
23,2267,"2024-06-08","Home",1,21,"viewed"
24,470,"2024-02-03","Pricing Page",2,52,"dropped"
25,1499,"2024-03-23","Payment",4,110,"dropped"
26,1421,"2024-05-20","Pricing Page",2,38,"clicked"
27,154,"2024-03-17","Confirmation",5,108,"converted"
28,1833,"2024-04-14","Home",1,109,"clicked"
29,815,"2024-02-24","Plan Selection",3,114,"clicked"
30,640,"2024-03-13","Pricing Page",2,47,"viewed"
31,1311,"2024-05-02","Home",1,82,"clicked"
32,2262,"2024-01-13","Home",1,45,"viewed"
33,2185,"2024-05-04","Pricing Page",2,44,"dropped"
34,2747,"2024-04-25","Pricing Page",2,47,"dropped"
35,1107,"2024-01-08","Home",1,95,"viewed"
36,2269,"2024-03-05","Plan Selection",3,103,"viewed"
37,2150,"2024-01-20","Pricing Page",2,48,"viewed"
38,2719,"2024-04-29","Plan Selection",3,203,"dropped"
39,1348,"2024-01-07","Payment",4,208,"clicked"
40,1563,"2024-01-20","Confirmation",5,128,"converted"
41,31,"2024-02-19","Pricing Page",2,56,"dropped"
42,108,"2024-02-05","Payment",4,159,"dropped"
43,1366,"2024-06-04","Confirmation",5,13,"converted"
44,981,"2024-04-16","Confirmation",5,16,"converted"
45,884,"2024-03-07","Confirmation",5,146,"converted"
