"subscription_id","user_id","plan_type","start_date","end_date","cancellation_reason","churn_flag"
1,769,"Monthly_499","2024-03-12","","",0
2,2003,"Quarterly_1299","2024-05-17","","",0
3,579,"Monthly_499","2024-05-26","","",0
4,253,"Monthly_499","2024-05-12","","",0
5,726,"Quarterly_1299","2024-04-01","2024-04-17","Found Better App",1
6,790,"Monthly_499","2024-04-21","","",0
7,777,"Monthly_499","2024-03-14","2024-04-28","Hard to Cancel",1
8,348,"Monthly_499","2024-02-27","2024-04-06","Too Expensive",1
9,2823,"Monthly_499","2024-01-14","","",0
10,2662,"Annual_3999","2024-06-16","2024-07-07","Too Expensive",1
11,192,"Annual_3999","2024-02-11","2024-04-13","Found Better App",1
12,2337,"Annual_3999","2024-01-10","","",0
13,1182,"Monthly_499","2024-05-03","2024-05-13","Too Expensive",1
14,2983,"Quarterly_1299","2024-01-30","","",0
15,1863,"Monthly_499","2024-02-16","2024-03-30","Hard to Cancel",1
16,331,"Monthly_499","2024-03-01","","",0
17,2145,"Monthly_499","2024-02-26","2024-03-26","Found Better App",1
18,249,"Monthly_499","2024-04-03","2024-06-06","Found Better App",1
19,2429,"Monthly_499","2024-01-27","2024-02-27","Too Expensive",1
20,1358,"Monthly_499","2024-04-02","2024-05-25","Hard to Cancel",1
21,1963,"Monthly_499","2024-06-11","","",0
22,2853,"Monthly_499","2024-01-10","","",0
23,498,"Monthly_499","2024-02-05","","",0
24,2599,"Monthly_499","2024-05-11","","",0
25,1876,"Quarterly_1299","2024-02-26","2024-03-25","Found Better App",1
26,1151,"Monthly_499","2024-03-24","","",0
27,2188,"Monthly_499","2024-02-25","","",0
28,182,"Monthly_499","2024-05-31","","",0
29,2043,"Quarterly_1299","2024-05-20","","",0
30,1965,"Annual_3999","2024-05-22","2024-07-08","Found Better App",1
31,342,"Annual_3999","2024-06-05","","",0
32,2445,"Monthly_499","2024-06-29","","",0
33,668,"Monthly_499","2024-05-21","","",0
34,1085,"Quarterly_1299","2024-03-09","","",0
35,2942,"Monthly_499","2024-02-19","","",0
36,227,"Quarterly_1299","2024-04-15","","",0
37,1488,"Monthly_499","2024-03-01","","",0
38,8,"Monthly_499","2024-02-21","2024-04-22","Not Using App",1
39,1795,"Monthly_499","2024-06-06","2024-07-21","Too Expensive",1
40,1112,"Monthly_499","2024-02-10","","",0
41,2664,"Quarterly_1299","2024-02-21","","",0
42,1709,"Annual_3999","2024-06-16","","",0
43,1136,"Annual_3999","2024-03-14","2024-05-20","Not Using App",1
44,1359,"Monthly_499","2024-01-20","","",0
45,1068,"Monthly_499","2024-01-08","","",0
46,962,"Annual_3999","2024-06-24","","",0
47,415,"Monthly_499","2024-06-29","","",0
48,1221,"Quarterly_1299","2024-04-15","","",0
49,1142,"Monthly_499","2024-05-31","","",0
50,1663,"Monthly_499","2024-04-08","","",0
51,721,"Annual_3999","2024-01-26","","",0
52,1469,"Monthly_499","2024-06-27","2024-08-11","Hard to Cancel",1
53,740,"Quarterly_1299","2024-06-09","","",0
54,2363,"Quarterly_1299","2024-04-24","2024-05-20","Too Expensive",1
55,1734,"Monthly_499","2024-06-26","","",0
56,14,"Monthly_499","2024-02-27","","",0
57,2369,"Annual_3999","2024-02-14","","",0
58,1283,"Monthly_499","2024-02-27","2024-05-03","Found Better App",1
59,2256,"Annual_3999","2024-06-01","2024-06-28","Hard to Cancel",1
60,2012,"Quarterly_1299","2024-06-21","","",0
61,980,"Monthly_499","2024-06-07","","",0
62,1973,"Annual_3999","2024-02-01","","",0
63,373,"Monthly_499","2024-05-12","2024-06-19","Hard to Cancel",1
64,524,"Monthly_499","2024-05-11","","",0
65,1644,"Monthly_499","2024-04-20","2024-06-29","Hard to Cancel",1
66,2104,"Monthly_499","2024-06-16","","",0
67,2268,"Monthly_499","2024-02-01","","",0
68,1304,"Annual_3999","2024-06-02","2024-08-15","Too Expensive",1
69,2995,"Quarterly_1299","2024-06-17","","",0
70,2399,"Monthly_499","2024-02-25","","",0
71,1231,"Monthly_499","2024-05-17","2024-08-09","Hard to Cancel",1
72,2174,"Monthly_499","2024-02-25","","",0
73,469,"Quarterly_1299","2024-02-15","2024-05-02","Too Expensive",1
74,2147,"Monthly_499","2024-02-13","","",0
75,1148,"Annual_3999","2024-03-14","2024-04-10","Not Using App",1
76,876,"Monthly_499","2024-05-04","","",0
77,89,"Monthly_499","2024-06-15","","",0
78,1409,"Monthly_499","2024-06-19","","",0
79,2012,"Annual_3999","2024-02-04","2024-04-26","Hard to Cancel",1
80,2345,"Quarterly_1299","2024-04-18","","",0
81,1606,"Monthly_499","2024-01-30","2024-03-05","Found Better App",1
82,298,"Monthly_499","2024-01-12","","",0
83,1153,"Monthly_499","2024-02-17","2024-04-29","Not Using App",1
84,851,"Monthly_499","2024-02-14","2024-03-30","Found Better App",1
85,249,"Monthly_499","2024-05-19","","",0
86,1956,"Annual_3999","2024-02-03","","",0
87,2483,"Annual_3999","2024-01-13","2024-01-27","Found Better App",1
88,684,"Quarterly_1299","2024-04-01","","",0
89,2280,"Annual_3999","2024-06-02","2024-06-27","Hard to Cancel",1
90,93,"Annual_3999","2024-02-05","","",0
91,2279,"Monthly_499","2024-01-24","","",0
92,2955,"Monthly_499","2024-05-04","2024-06-03","Hard to Cancel",1
93,1663,"Monthly_499","2024-06-25","2024-07-20","Hard to Cancel",1
94,2187,"Monthly_499","2024-02-16","","",0
95,602,"Annual_3999","2024-06-14","2024-08-21","Hard to Cancel",1
96,532,"Quarterly_1299","2024-01-11","","",0
97,2167,"Annual_3999","2024-05-28","2024-07-01","Found Better App",1
98,1293,"Monthly_499","2024-04-07","2024-06-25","Hard to Cancel",1
99,2437,"Quarterly_1299","2024-05-27","","",0
100,1695,"Monthly_499","2024-05-17","2024-08-10","Found Better App",1
101,23,"Quarterly_1299","2024-01-24","","",0
102,2813,"Monthly_499","2024-03-11","2024-06-03","Too Expensive",1
103,1743,"Quarterly_1299","2024-01-15","2024-02-04","Not Using App",1
104,2140,"Monthly_499","2024-05-05","2024-07-24","Not Using App",1
105,2545,"Monthly_499","2024-01-25","2024-02-10","Too Expensive",1
106,435,"Monthly_499","2024-02-24","","",0
107,445,"Monthly_499","2024-02-26","","",0
108,374,"Monthly_499","2024-04-03","2024-06-07","Hard to Cancel",1
109,1357,"Monthly_499","2024-06-17","","",0
110,2431,"Quarterly_1299","2024-05-26","2024-06-24","Hard to Cancel",1
111,284,"Quarterly_1299","2024-03-10","2024-04-09","Too Expensive",1
112,322,"Quarterly_1299","2024-01-03","","",0
113,423,"Annual_3999","2024-05-03","","",0
114,1786,"Monthly_499","2024-02-11","2024-04-18","Hard to Cancel",1
115,745,"Monthly_499","2024-01-01","2024-03-27","Not Using App",1
116,2022,"Monthly_499","2024-02-14","2024-05-11","Found Better App",1
117,1350,"Annual_3999","2024-04-25","2024-05-18","Not Using App",1
118,1458,"Quarterly_1299","2024-01-07","","",0
119,1471,"Quarterly_1299","2024-06-01","2024-08-08","Hard to Cancel",1
120,845,"Quarterly_1299","2024-01-21","2024-02-21","Too Expensive",1
121,1698,"Monthly_499","2024-03-14","","",0
122,868,"Monthly_499","2024-01-13","2024-02-19","Too Expensive",1
123,921,"Quarterly_1299","2024-05-12","2024-05-25","Found Better App",1
124,995,"Annual_3999","2024-06-25","","",0
125,2384,"Monthly_499","2024-04-01","2024-06-03","Not Using App",1
126,1456,"Monthly_499","2024-02-27","","",0
127,1096,"Quarterly_1299","2024-04-09","2024-06-30","Not Using App",1
128,1530,"Monthly_499","2024-01-02","","",0
129,2736,"Quarterly_1299","2024-01-21","","",0
130,1458,"Quarterly_1299","2024-01-10","","",0
131,2287,"Monthly_499","2024-02-27","","",0
132,371,"Monthly_499","2024-05-20","2024-07-17","Hard to Cancel",1
133,2600,"Monthly_499","2024-02-29","2024-05-16","Not Using App",1
134,2057,"Monthly_499","2024-03-31","","",0
135,1009,"Monthly_499","2024-03-26","","",0
136,2248,"Monthly_499","2024-04-28","2024-07-05","Hard to Cancel",1
137,1835,"Monthly_499","2024-04-14","","",0
138,2172,"Monthly_499","2024-06-06","2024-08-14","Found Better App",1
139,1885,"Monthly_499","2024-02-10","","",0
140,1664,"Monthly_499","2024-03-20","2024-04-27","Too Expensive",1
141,2819,"Quarterly_1299","2024-06-09","2024-06-25","Hard to Cancel",1
142,523,"Monthly_499","2024-01-02","","",0
143,1457,"Monthly_499","2024-04-15","2024-05-29","Hard to Cancel",1
144,340,"Monthly_499","2024-01-21","","",0
145,706,"Monthly_499","2024-05-30","","",0
146,1434,"Monthly_499","2024-01-16","","",0
147,2417,"Monthly_499","2024-05-12","2024-07-10","Found Better App",1
148,1352,"Annual_3999","2024-04-30","","",0
149,2239,"Monthly_499","2024-06-12","","",0
150,1511,"Monthly_499","2024-04-04","","",0
151,752,"Annual_3999","2024-04-06","","",0
152,558,"Monthly_499","2024-06-23","","",0
153,1462,"Quarterly_1299","2024-01-11","","",0
154,269,"Monthly_499","2024-05-11","","",0
155,569,"Monthly_499","2024-06-24","2024-09-01","Hard to Cancel",1
156,1374,"Monthly_499","2024-06-09","2024-08-20","Hard to Cancel",1
157,1051,"Quarterly_1299","2024-03-02","2024-04-04","Not Using App",1
158,2107,"Quarterly_1299","2024-03-06","","",0
159,2497,"Monthly_499","2024-01-03","","",0
160,1526,"Monthly_499","2024-06-29","2024-07-15","Too Expensive",1
161,996,"Quarterly_1299","2024-01-23","","",0
162,2922,"Quarterly_1299","2024-04-09","","",0
163,499,"Quarterly_1299","2024-02-10","","",0
164,196,"Quarterly_1299","2024-02-04","2024-04-24","Not Using App",1
165,2434,"Monthly_499","2024-06-28","","",0
166,1739,"Monthly_499","2024-01-03","","",0
167,148,"Annual_3999","2024-03-17","2024-06-11","Hard to Cancel",1
168,1353,"Annual_3999","2024-01-12","","",0
169,459,"Monthly_499","2024-06-20","","",0
170,2728,"Quarterly_1299","2024-06-11","2024-07-25","Not Using App",1
171,1018,"Monthly_499","2024-04-02","2024-04-17","Found Better App",1
172,1269,"Monthly_499","2024-03-03","","",0
173,2661,"Quarterly_1299","2024-05-02","","",0
174,2739,"Quarterly_1299","2024-05-06","","",0
175,660,"Monthly_499","2024-06-29","","",0
176,1342,"Monthly_499","2024-01-29","","",0
177,1707,"Quarterly_1299","2024-03-29","2024-06-20","Found Better App",1
178,2539,"Quarterly_1299","2024-03-25","","",0
179,1120,"Annual_3999","2024-02-10","2024-03-23","Too Expensive",1
180,2790,"Annual_3999","2024-06-21","","",0
181,2732,"Quarterly_1299","2024-05-02","2024-07-27","Hard to Cancel",1
182,1250,"Monthly_499","2024-02-26","2024-03-08","Too Expensive",1
183,1946,"Monthly_499","2024-02-09","2024-04-30","Too Expensive",1
184,1959,"Monthly_499","2024-03-25","2024-04-29","Hard to Cancel",1
185,1708,"Annual_3999","2024-04-07","2024-05-30","Not Using App",1
186,1204,"Quarterly_1299","2024-04-17","2024-04-28","Found Better App",1
187,984,"Monthly_499","2024-01-04","","",0
188,175,"Monthly_499","2024-06-05","2024-07-15","Hard to Cancel",1
189,2894,"Quarterly_1299","2024-04-09","","",0
190,1095,"Monthly_499","2024-01-16","2024-01-27","Found Better App",1
191,931,"Quarterly_1299","2024-06-18","","",0
192,1648,"Quarterly_1299","2024-06-04","2024-07-01","Hard to Cancel",1
193,1330,"Monthly_499","2024-04-09","","",0
194,404,"Quarterly_1299","2024-02-10","","",0
195,638,"Quarterly_1299","2024-03-24","2024-04-06","Hard to Cancel",1
196,1895,"Quarterly_1299","2024-05-07","2024-06-15","Too Expensive",1
197,622,"Quarterly_1299","2024-01-11","2024-03-18","Too Expensive",1
198,2247,"Quarterly_1299","2024-02-05","2024-03-05","Found Better App",1
199,2803,"Monthly_499","2024-06-07","2024-08-17","Found Better App",1
200,647,"Monthly_499","2024-03-08","","",0
201,969,"Monthly_499","2024-04-21","","",0
202,741,"Quarterly_1299","2024-01-15","2024-03-05","Too Expensive",1
203,1900,"Monthly_499","2024-03-26","","",0
204,2662,"Quarterly_1299","2024-06-10","2024-06-24","Hard to Cancel",1
205,2500,"Monthly_499","2024-06-25","","",0
206,1870,"Monthly_499","2024-02-18","2024-03-22","Found Better App",1
207,1358,"Annual_3999","2024-04-28","","",0
208,601,"Quarterly_1299","2024-02-14","2024-05-13","Found Better App",1
209,1206,"Quarterly_1299","2024-03-07","2024-04-29","Too Expensive",1
210,1864,"Annual_3999","2024-05-15","2024-06-12","Too Expensive",1
211,1329,"Monthly_499","2024-02-29","","",0
212,545,"Monthly_499","2024-01-03","","",0
213,1153,"Monthly_499","2024-01-26","2024-02-09","Too Expensive",1
214,561,"Annual_3999","2024-01-21","","",0
215,735,"Quarterly_1299","2024-02-21","","",0
216,2593,"Monthly_499","2024-04-12","2024-06-09","Too Expensive",1
217,1445,"Quarterly_1299","2024-03-17","2024-04-29","Not Using App",1
218,2635,"Annual_3999","2024-06-14","","",0
219,2426,"Annual_3999","2024-02-20","2024-03-19","Hard to Cancel",1
220,1768,"Monthly_499","2024-05-21","2024-06-11","Not Using App",1
221,2005,"Monthly_499","2024-06-06","2024-08-14","Hard to Cancel",1
222,2724,"Monthly_499","2024-06-04","2024-07-29","Hard to Cancel",1
223,2174,"Quarterly_1299","2024-03-06","2024-05-11","Too Expensive",1
224,2202,"Monthly_499","2024-01-27","2024-03-19","Hard to Cancel",1
225,1184,"Quarterly_1299","2024-06-24","","",0
226,292,"Annual_3999","2024-02-11","2024-03-20","Hard to Cancel",1
227,523,"Monthly_499","2024-05-09","2024-06-30","Hard to Cancel",1
228,1602,"Monthly_499","2024-06-29","","",0
229,1288,"Quarterly_1299","2024-03-13","2024-06-07","Too Expensive",1
230,1763,"Monthly_499","2024-03-25","2024-05-23","Too Expensive",1
231,1812,"Annual_3999","2024-06-19","","",0
232,1914,"Monthly_499","2024-02-04","","",0
233,2463,"Monthly_499","2024-03-05","","",0
234,2738,"Monthly_499","2024-05-28","","",0
235,1546,"Quarterly_1299","2024-04-23","2024-07-07","Not Using App",1
236,398,"Monthly_499","2024-04-02","2024-05-26","Hard to Cancel",1
237,866,"Monthly_499","2024-06-05","","",0
238,786,"Quarterly_1299","2024-01-21","","",0
239,1459,"Monthly_499","2024-05-12","","",0
240,1669,"Quarterly_1299","2024-02-19","","",0
241,1097,"Quarterly_1299","2024-05-14","","",0
242,1020,"Annual_3999","2024-02-05","2024-05-02","Too Expensive",1
243,2919,"Quarterly_1299","2024-05-11","2024-07-21","Not Using App",1
244,640,"Monthly_499","2024-06-21","","",0
245,1359,"Monthly_499","2024-06-24","","",0
246,241,"Monthly_499","2024-06-09","2024-08-25","Hard to Cancel",1
247,726,"Monthly_499","2024-01-29","","",0
248,2450,"Monthly_499","2024-05-06","2024-06-18","Not Using App",1
249,1490,"Quarterly_1299","2024-02-13","","",0
250,12,"Quarterly_1299","2024-04-07","","",0
251,376,"Monthly_499","2024-01-19","","",0
252,1983,"Monthly_499","2024-01-08","2024-02-26","Too Expensive",1
253,685,"Annual_3999","2024-01-22","2024-02-29","Hard to Cancel",1
254,1744,"Quarterly_1299","2024-04-02","2024-04-17","Not Using App",1
