"user_id","signup_date","device_type","acquisition_channel","city_tier","age_group"
1,"2024-04-14","Android","Organic","Tier-3","45+"
2,"2024-03-01","Web","Organic","Tier-2","35-44"
3,"2024-02-07","iOS","YouTube","Tier-1","45+"
4,"2024-04-03","Android","YouTube","Tier-1","18-24"
5,"2024-05-05","Android","Instagram","Tier-1","35-44"
6,"2024-01-27","Android","Google Ads","Tier-1","25-34"
7,"2024-02-07","iOS","Google Ads","Tier-2","35-44"
8,"2024-04-09","Android","YouTube","Tier-3","25-34"
9,"2024-01-09","Android","Google Ads","Tier-2","45+"
10,"2024-06-17","iOS","Google Ads","Tier-1","18-24"
11,"2024-06-16","Android","YouTube","Tier-2","25-34"
12,"2024-04-04","iOS","Organic","Tier-3","18-24"
13,"2024-06-18","iOS","Organic","Tier-1","25-34"
14,"2024-05-01","iOS","Instagram","Tier-2","25-34"
15,"2024-03-21","Android","Organic","Tier-1","35-44"
16,"2024-02-02","Android","YouTube","Tier-3","25-34"
17,"2024-05-31","iOS","Instagram","Tier-1","25-34"
18,"2024-01-13","Android","Instagram","Tier-2","35-44"
19,"2024-03-16","iOS","YouTube","Tier-1","25-34"
20,"2024-05-27","Android","YouTube","Tier-3","25-34"
21,"2024-04-30","Android","Organic","Tier-1","18-24"
22,"2024-03-22","iOS","Google Ads","Tier-2","45+"
23,"2024-06-01","iOS","Organic","Tier-1","25-34"
24,"2024-05-26","Web","Google Ads","Tier-1","18-24"
25,"2024-05-02","Web","Instagram","Tier-3","35-44"
26,"2024-05-24","Android","Google Ads","Tier-2","18-24"
27,"2024-03-13","iOS","Organic","Tier-2","35-44"
28,"2024-03-06","iOS","Google Ads","Tier-3","18-24"
29,"2024-03-01","Android","Google Ads","Tier-2","18-24"
30,"2024-04-25","Android","Instagram","Tier-1","18-24"
31,"2024-05-08","Web","Instagram","Tier-3","18-24"
32,"2024-06-11","iOS","YouTube","Tier-3","25-34"
33,"2024-05-18","Android","Organic","Tier-2","18-24"
34,"2024-06-08","Android","YouTube","Tier-1","18-24"
35,"2024-04-18","Web","Organic","Tier-3","18-24"
36,"2024-03-13","iOS","YouTube","Tier-2","18-24"
37,"2024-03-20","Web","Instagram","Tier-2","25-34"
38,"2024-03-09","iOS","Google Ads","Tier-1","18-24"
39,"2024-01-15","Android","YouTube","Tier-3","45+"
40,"2024-01-14","Web","Instagram","Tier-1","18-24"
41,"2024-04-03","Web","Instagram","Tier-3","45+"
42,"2024-02-23","Android","Instagram","Tier-2","35-44"
43,"2024-02-07","iOS","YouTube","Tier-1","18-24"
44,"2024-05-25","Android","YouTube","Tier-1","35-44"
45,"2024-02-12","Web","YouTube","Tier-1","18-24"
46,"2024-03-31","Web","Google Ads","Tier-2","18-24"
47,"2024-05-23","Web","Google Ads","Tier-1","25-34"
48,"2024-03-28","iOS","Google Ads","Tier-3","25-34"
49,"2024-06-07","Android","Instagram","Tier-2","18-24"
50,"2024-05-06","Android","Instagram","Tier-1","18-24"
51,"2024-03-10","Web","Google Ads","Tier-1","45+"
52,"2024-06-18","iOS","Organic","Tier-1","18-24"
53,"2024-04-13","iOS","Instagram","Tier-2","18-24"
54,"2024-02-19","Web","Google Ads","Tier-1","25-34"
55,"2024-01-01","Android","Google Ads","Tier-2","45+"
56,"2024-06-18","Android","YouTube","Tier-3","35-44"
57,"2024-04-09","Android","Google Ads","Tier-1","35-44"
58,"2024-04-08","Web","Google Ads","Tier-2","45+"
59,"2024-05-10","Web","YouTube","Tier-1","18-24"
60,"2024-05-12","iOS","Instagram","Tier-2","45+"
61,"2024-02-13","Web","Instagram","Tier-3","35-44"
62,"2024-02-25","Android","YouTube","Tier-3","25-34"
63,"2024-02-04","Android","YouTube","Tier-3","25-34"
64,"2024-05-11","iOS","Google Ads","Tier-2","25-34"
65,"2024-02-01","Android","YouTube","Tier-2","18-24"
66,"2024-02-05","Web","YouTube","Tier-1","25-34"
67,"2024-03-05","Web","Google Ads","Tier-2","35-44"
68,"2024-04-19","Web","Instagram","Tier-2","45+"
69,"2024-05-09","Android","Google Ads","Tier-3","45+"
70,"2024-06-15","iOS","Google Ads","Tier-1","25-34"
71,"2024-05-29","Web","Google Ads","Tier-2","18-24"
72,"2024-03-28","Android","Google Ads","Tier-3","25-34"
73,"2024-05-12","Android","YouTube","Tier-2","45+"
74,"2024-05-19","Web","Instagram","Tier-2","18-24"
75,"2024-01-30","Android","Instagram","Tier-1","18-24"
76,"2024-06-26","Android","Instagram","Tier-2","25-34"
77,"2024-04-16","Android","Instagram","Tier-2","18-24"
78,"2024-06-24","Android","Google Ads","Tier-2","45+"
79,"2024-03-05","Android","YouTube","Tier-2","45+"
80,"2024-02-02","Web","Instagram","Tier-1","35-44"
81,"2024-02-13","Web","Instagram","Tier-3","18-24"
82,"2024-02-16","Web","Google Ads","Tier-1","18-24"
83,"2024-06-16","Android","YouTube","Tier-2","18-24"
84,"2024-06-29","iOS","Google Ads","Tier-1","45+"
85,"2024-03-02","Android","Instagram","Tier-1","18-24"
86,"2024-02-11","Android","YouTube","Tier-3","18-24"
87,"2024-02-23","Android","Google Ads","Tier-3","18-24"
88,"2024-02-13","iOS","Instagram","Tier-2","35-44"
89,"2024-04-17","Android","YouTube","Tier-1","18-24"
90,"2024-06-12","Android","Instagram","Tier-3","25-34"
91,"2024-01-23","Android","YouTube","Tier-2","35-44"
92,"2024-06-07","Android","YouTube","Tier-2","25-34"
93,"2024-05-01","Android","Google Ads","Tier-2","25-34"
94,"2024-02-16","iOS","Organic","Tier-3","18-24"
95,"2024-01-31","Android","Google Ads","Tier-2","45+"
96,"2024-03-16","Web","Instagram","Tier-1","18-24"
97,"2024-02-16","iOS","YouTube","Tier-3","35-44"
98,"2024-02-02","Android","Organic","Tier-2","25-34"
99,"2024-02-22","iOS","Instagram","Tier-1","35-44"
100,"2024-03-30","iOS","Instagram","Tier-3","45+"
101,"2024-02-23","iOS","YouTube","Tier-3","25-34"
